episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,12,13,-0.04191738739609718,0.4128488302230835,1.489332675933838,2.7243611812591553,0,3,1,22,1,-2.5,8.718747437000275,0.988065780494209,0.0,-0.21922259330749513,0.0,0.0,0.0
2,13,14,0.30917635560035706,0.40859490633010864,1.6904758214950562,3.0329947471618652,0,3,2,24,4,5.0,9.719268918037415,0.9870777147137147,0.0,0.0,0.0,0.0,-0.21947207450866701
3,13,14,-0.029589951038360596,-0.40983760356903076,-1.353402018547058,-2.560746908187866,0,-3,-1,-20,3,2.5,9.658469080924988,0.9870777147137147,0.0,0.0,0.0,-0.21882400512695313,0.0
4,16,17,0.0329977311193943,0.40707239508628845,0.8016621470451355,1.9019856452941895,0,3,1,15,0,-5.0,12.317364811897278,0.98411944181564,-0.21793191432952883,0.0,0.08342921733856201,0.0,0.0
5,16,17,-0.04259197413921356,-0.4072786867618561,-1.045793056488037,-2.171144485473633,0,-3,-1,-17,0,-5.0,12.730341076850891,0.98411944181564,-0.21864171028137208,0.09333321377125599,0.0,0.0,0.0
6,16,17,-0.1079951599240303,-0.41332587599754333,-1.0945907831192017,-2.3138835430145264,0,-3,-1,-19,1,-2.5,12.281744420528412,0.98411944181564,0.0,-0.14428519666194917,0.0,0.0,0.0
7,16,17,-0.060995567589998245,-0.4141266644001007,-1.125925064086914,-2.2995407581329346,0,-3,-1,-18,0,-5.0,12.733255565166473,0.98411944181564,-0.14098973155021666,0.0,0.18174361079857462,0.0,0.2008984757117664
8,17,18,-0.034132689237594604,0.41050949692726135,0.953792154788971,2.1407535076141357,0,3,1,17,3,2.5,13.253886580467224,0.9831353223738244,0.10304210602179527,0.0,0.0,-0.21877963542938234,0.09476659379005432
9,17,18,0.046052902936935425,0.4010867178440094,0.8607167601585388,1.9570071697235107,0,3,1,16,3,2.5,13.600197315216064,0.9831353223738244,0.0,0.0,0.09681708157062531,-0.1314128452222389,0.0886129379272461
10,18,19,-0.10834034532308578,-0.4085736870765686,-0.2595120966434479,-1.2058061361312866,0,-3,0,-10,2,0.0,14.10729718208313,0.9821521870514506,0.08462055325508118,0.0,-0.21773340702056887,0.0,0.0
11,18,19,-0.16901667416095734,-0.4172482192516327,-0.24408140778541565,-1.1800323724746704,0,-3,0,-9,1,-2.5,14.129671335220337,0.9821521870514506,0.1910988893569081,-0.1340930223568818,0.0,0.0,0.0963584412753582
12,19,20,-0.06923628598451614,-0.4008639454841614,-1.4595481157302856,-2.8506546020507812,0,-3,-1,-23,4,5.0,15.578417301177979,0.9811700348643991,0.0,0.0,0.0,0.0,-0.21817259788513185
13,19,20,-0.3430168628692627,-0.39455851912498474,-1.1088067293167114,-2.314931631088257,0,-3,-1,-19,1,-2.5,15.6301309466362,0.9811700348643991,0.0,-0.34741615766286854,0.08327582478523254,0.0,0.0
