episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,4,5.0,0.9862480759620667,1.0,0.0,0.0,0.0,0.0,0.09862480759620668
0,1,0.13857078552246094,-0.11726848781108856,0.3664134740829468,0.5433162450790405,0,-1,0,4,1,-2.5,0.9870264530181885,0.9995,0.0,0.09870264530181885,0.0,0.0,0.0
0,2,0.14097359776496887,-0.1139012798666954,0.14674746990203857,0.1889667958021164,0,-1,0,2,0,-5.0,0.986646294593811,0.9990002500000001,0.6292548427290818,0.4809217668626803,0.30632233951633525,0.3400829786236692,0.2666062643527985
0,3,0.14021244645118713,-0.11555804312229156,-0.24298229813575745,-0.4258378744125366,0,-1,0,-3,0,-5.0,0.9848439693450928,0.9985007498750001,0.4477935562175554,0.4078473859969197,0.5084802772394144,0.31542638818897095,0.78316178808911
0,4,0.13571995496749878,-0.12310981005430222,-0.6035071611404419,-0.9960522651672363,0,-1,-1,-8,1,-2.5,0.9819068312644958,0.9980014995000627,0.0,0.09819068312644959,0.0,0.0,0.0
0,5,0.12883591651916504,-0.1345108300447464,-0.7506916522979736,-1.2402660846710205,0,-1,-1,-10,1,-2.5,0.9780157804489136,0.9975024987503127,0.0,0.09780157804489137,0.0,0.0,0.0
0,6,0.12054156512022018,-0.14827093482017517,-0.8869653940200806,-1.4692102670669556,0,-1,-1,-12,0,-5.0,0.9724919199943542,0.9970037475009376,0.10803211825300457,0.0,0.10696559618711472,0.13097218907067526,0.0
0,7,0.10988704860210419,-0.1658557504415512,-1.1984204053878784,-1.9670852422714233,0,-1,-1,-16,2,0.0,0.9657667875289917,0.9965052456271871,0.0969484567642212,0.0,0.21994243375277522,0.0,0.10891844700574876
0,8,0.0983586236834526,-0.185022234916687,-1.1162139177322388,-1.867509126663208,0,-1,-1,-15,2,0.0,0.9586763978004456,0.9960069930043736,0.09777759909629823,0.0,0.27189045263528827,0.11536843376810164,0.0
0,9,0.08760914206504822,-0.20328204333782196,-1.0412715673446655,-1.782205581665039,0,-2,-1,-14,1,-2.5,0.9505617022514343,0.9955089895078715,0.09504746198654175,0.10539065934166313,0.0,0.0,0.0
0,10,0.07652638852596283,-0.2223471850156784,-1.1562891006469727,-1.9868968725204468,0,-2,-1,-16,0,-5.0,0.9399930238723755,0.9950112350131176,0.09399930238723755,0.0,0.19761491056725383,0.09337221384048462,0.0
0,11,0.06330514699220657,-0.24496309459209442,-1.4449266195297241,-2.454758405685425,0,-2,-1,-20,0,-5.0,0.9259809255599976,0.9945137293956111,0.09259809255599977,0.0,0.0,0.0,0.0
0,12,0.04733433201909065,-0.27206432819366455,-1.7098366022109985,-2.888072967529297,0,-2,-2,-23,1,-2.5,0.9089192152023315,0.9940164725309134,0.0,0.09089192152023316,0.0,0.0,0.0
0,13,0.0298700463026762,-0.3017958700656891,-1.7722262144088745,-3.0219826698303223,0,-2,-2,-24,4,5.0,0.8921765089035034,0.993519464294648,0.0,0.0,0.0,0.0,0.08921765089035034
0,14,0.014859016053378582,-0.32836484909057617,-1.2942023277282715,-2.3647420406341553,0,-3,-1,-19,1,-2.5,0.8752553462982178,0.9930227045625007,0.0,0.0961927057504654,0.0,0.0,0.0
0,15,0.001360688591375947,-0.3531920611858368,-1.3887845277786255,-2.5519959926605225,0,-3,-1,-20,1,-2.5,0.855718731880188,0.9925261932102195,0.0,0.16436433792114258,0.0,0.0,0.0
0,16,-0.013036820106208324,-0.3798437714576721,-1.4753700494766235,-2.7300186157226562,0,-3,-1,-22,2,0.0,0.8345003128051758,0.9920299301136144,0.0,0.0,0.09213253401517868,0.0,0.0
1,17,-0.027266228571534157,-0.4068165421485901,-1.3805663585662842,-2.6512153148651123,0,-3,-1,-21,1,-2.5,-2.188784599304199,0.9915339151485576,0.0,-0.21887845993041993,0.0,0.08682772517204285,-0.13897935271263123
